                     Wk 31 – 1999 July 31 – USA Top 100
 1   3    5    GENIE IN A BOTTLE              Christina Aguilera
 2   1    11   WILD WILD WEST                 Will Smith
 3   2    7    BILLS BILLS BILLS              Destiny’s Child
 4   4    10   LAST KISS                      Pearl Jam
 5   5    12   IF YOU HAD MY LOVE             Jennifer Lopez
 6   6    15   I WANT IT THAT WAY             Backstreet Boys
 7   9    11   ALL STAR                       Smash Mouth
 8   10   14   WHERE MY GIRL'S AT             702
 9   7    13   IT'S NOT RIGHT BUT IT'S OKAY   Whitney Houston
10   8    16   LIVIN' LA VIDA LOCA            Ricky Martin
11   11   17   FORTUNATE                      Maxwell
12   12   19   THE HARDEST THING              98 Degrees
13   20   5    JAMBOUREE                      Naughty By Nature
14   16   11   I WILL REMEMBER YOU            Sarah McLachlan
15   26   3    SUMMER GIRLS                   LFO
16   28   10   TELL ME IT'S REAL              K-Ci & Jojo
17   14   26   KISS ME                        Sixpence None The Richer
18   18   15   THAT DON'T IMPRESS ME MUCH     Shania Twain
19   13   24   NO SCRUBS                      TLC
20   18   16   808                            Blaque
21   21   11   SOMETIMES                      Britney Spears
22   19   8    BEAUTIFUL STRANGER             Madonna
23   24   9    HAPPILY EVER AFTER             Case
24   23   5    YOU'LL BE IN MY HEART          Phil Collins
25   17   12   NO PIGEONS                     Sporty Thievz
26   34   5    SOMEDAY                        Sugar Ray
27   25   20   ANYWHERE                       112
28   22   12   CHANTE'S GOT A MAN             Chante Moore
29   38   4    BAILAMOS                       Enrique Iglesias
30   30   9    LESSON IN LEAVIN'              Jo Dee Messina
31   31   10   A LITTLE MORE TIME ON YOU      Alabama & N' Sync
32   29   9    AMAZED                         Lonestar
33   33   10   BETTER DAYS                    Citizen King
34   39   7    SHE'S SO HIGH                  Tal Bachman
35   37   7    EVERYTHING IS EVERYTHING       Lauryn Hill
36   55   3    SO ANXIOUS                     Ginuwine
37   45   9    SCAR TISSUE                    Red Hot Chili Peppers
38   32   30   EVERY MORNING                  Sugar Ray
39   36   15   WRITE THIS DOWN                George Strait
40   43   12   A NIGHT TO REMEMBER            Joe Diffie
41   52   5    SPEND MY LIFE WITH YOU         Eric Benet & Tamia
42   42   8    HEY LEONARDO                   Blessed Union Of Souls
43   27   15   ALMOST DOESN'T COUNT           Brandy
44   35   45   SLIDE                          Goo Goo Dolls
45   46   6    I COULD NOT ASK FOR MORE       Edwin McCain
46   40   18   PLEASE REMEMBER ME             Tim McGraw
47   41   33   WHAT IT'S LIKE                 Everlast
48   48   4    BLACK BALLOON                  Goo Goo Dolls
49   51   13   LITTLE GOODBYES                Shedaisy
50   54   5    OUT OF MY HEAD                 Fastball
51   47   24   CUP OF LIFE                    Ricky Martin
52   57   5    WHAT YA WANT                   Eve & Nokio
53   53   12   SINGLE WHITE FEMALE            Chely Wright
54   44   18   HOLLA HOLLA                    Ja Rule
55   50   6    DID YOU EVER THINK             R. Kelly
 56    60   6    SECRET OF LIFE                   Faith Hill
 57    59   6    UNPRETTY                         TLC
 58    49   14   WHATEVER YOU SAY                 Martina McBride
 59    56   7    LATELY                           Tyrese
 60    62   4    YOU HAD ME FROM HELLO            Kenny Chesney
 61    61   15   MY OWN WORST ENEMY               Lit
 62    77   3    SMILE                            Vitamin C
 63    70   2    ALL THAT I CAN SAY               Mary J. Blige
 64    64   6    JIGGA MY NIGGA                   Jay-Z
 65    65   4    LITTLE MAN                       Alan Jackson
 66    75   3    YOU'VE GOT A WAY                 Shania Twain
 67    67   7    WHO NEEDS PICTURES               Brad Paisley
 68    68   7    CRAZY LITTLE THING CALLED LOVE   Dwight Yoakam
 69    58   15   WHO DAT                          JT Money
 70    74   4    NEVER GONNA LET YOU GO           Faith Hill
 71    71   4    BACK THAT THANG UP               Juvenile
 72    72   3    AMERICAN WOMAN                   Lenny Kravitz
 73    83   2    READY TO RUN                     Dixie Chicks
 74    81   2    SUNSHINE                         Coko
 75    63   18   GIVE IT TO YOU                   Jordan Knight
 76    76   3    WHAT'S MY AGE AGAIN              Blink 182
 77    86   2    ALL N MY GRILL                   Missy Elliott
 78     -   1    SMOOTH                           Santana
 79    69   12   TONIGHT THE HEARTACHE'S ON ME    Dixie Chicks
 80     -   1    NOOKIE                           Limp Bizkit
 81    79   19   YOU WON'T EVER BE LONELY         Andy Griggs
 82    66   10   ONE HONEST HEART                 Reba
 83    85   2    I WILL GO WITH YOU               Donna Summer
 84    82   11   STRONG ENOUGH                    Cher
 85    94   3    ALMOST HOME                      Mary Chapin Carpenter
 86    80   18   TWO TEARDROPS                    Steve Wariner
 87    78   18   WITH YOU                         Lila McCann
 88    90   6    YOU ARE EVERYTHING               Dru Hill
 89    92   5    EVERYONE FALLS IN LOVE           Tanto Metro & Devonte
 90    91   16   MAN I FEEL LIKE A WOMAN          Shania Twain
 91    84   6    WATCH OUT NOW                    Beatnuts & Yellaklaw
 92    96   3    VIVRANT THING                    Q-Tip
 93    97   13   PLAYERS HOLIDAY                  T.W.D.Y.
 94     -   1    NEVER BEEN KISSED                Sherrie Austin
 95    98   7    ROLLERCOASTER                    B*Witched
 96    99   3    SEXUAL                           Amber
 97     -   1    IT'S YOUR THING                  Mercedes
 98   100   17   MY FAVOURITE GIRL                Dave Hollister
 99     -   1    LONELY AND GONE                  Montgomery Gentry
100    95   7    SLAVE TO THE HABIT               Shane Minor
